variant,seed,lambda_red,removal_budget,realized_overlap,retrieval_accuracy,chance_accuracy,eval_loss,eval_ppl,calibration_loss,calibration_ppl,gate_selected,gate_pool_size,gate_criterion,gate_mean_selected_overlap,contribution_delta_mean,contribution_frac_below_eps,n_gate_refreshes,run_id,status
crpa_naive,42,0.1,8,0.23640093517800173,4.166666666666667,5.0,6.757604122161865,860.5778843765567,6.700855255126953,813.1009366211309,8,24,structural_overlap,1.0,,,17,72df04a95708,completed
crpa_naive,1337,0.0,8,0.22991199108461538,5.416666666666667,5.0,6.761646890640259,864.0640436399666,6.703627586364746,815.3582493106709,8,24,structural_overlap,1.0,,,17,73b0ce4a3b27,completed
crpa_contribution,42,0.05,8,0.22130533400923014,3.3333333333333335,5.0,6.751963186264038,855.7370858490357,6.693741798400879,807.3375015705313,8,24,behavioral_contribution,1.0,-2.1855036417643228e-07,1.0,17,80dc6ee51539,completed
crpa_naive,42,0.05,8,0.24040176967779794,6.25,5.0,6.749713706970215,853.8142864529809,6.690881252288818,805.031375381977,8,24,structural_overlap,1.0,,,17,81bdb00fd649,completed
crpa_naive,2024,0.01,8,0.25758816363910836,3.3333333333333335,5.0,6.881507015228271,974.0932275459138,6.871096611022949,964.0051250351804,8,24,structural_overlap,1.0,,,17,9f29ffd43b2c,completed
crpa_naive,2024,0.0,8,0.26009099061290425,3.3333333333333335,5.0,6.95383620262146,1047.1591474574604,6.93758487701416,1030.2789574327376,8,24,structural_overlap,1.0,,,17,a600b35294d6,completed
crpa_contribution,1337,0.0,8,0.22991199108461538,5.416666666666667,5.0,6.761646890640259,864.0640436399666,6.703627586364746,815.3582493106709,8,24,behavioral_contribution,1.0,-1.1920928955078125e-07,1.0,17,ab17e009d02e,completed
crpa_contribution,42,0.1,8,0.23815910580257574,4.583333333333333,5.0,6.7479246139526365,852.288098927594,6.689939975738525,804.2739747437314,8,24,behavioral_contribution,1.0,-3.4769376118977863e-07,1.0,17,b14588e6df2f,completed
crpa_contribution,2024,0.05,8,0.23776220126698414,3.3333333333333335,5.0,6.933239507675171,1025.8117277512185,6.917574405670166,1009.8674924861684,8,24,behavioral_contribution,1.0,-1.5894571940104166e-07,1.0,17,b24701ed5ef7,completed
crpa_naive,42,0.01,8,0.233861048395435,5.833333333333333,5.0,6.747332668304443,851.7837399876937,6.685948848724365,801.0704123210953,8,24,structural_overlap,1.0,,,17,bdb14b50a5b7,completed
crpa_naive,2024,0.05,8,0.313620881177485,3.3333333333333335,5.0,6.956387948989868,1049.8346441518463,6.943290710449219,1036.174360655422,8,24,structural_overlap,1.0,,,17,c1e84b3f73c1,completed
crpa_contribution,1337,0.01,8,0.24258810902635256,4.166666666666667,5.0,6.772825574874878,873.7773324868378,6.712923526763916,822.9731098087807,8,24,behavioral_contribution,1.0,-1.7881393432617188e-07,1.0,17,ca8a90a1fde6,completed
crpa_contribution,42,0.0,8,0.2402732198437055,4.583333333333333,5.0,6.738667249679565,844.4345651282742,6.682981967926025,798.6972540762624,8,24,behavioral_contribution,1.0,-6.953875223795573e-08,1.0,17,d24b87de5798,completed
crpa_naive,2024,0.2,8,0.279070474828283,3.3333333333333335,5.0,6.934981346130371,1027.6000831273382,6.9212965965271,1013.63341642927,8,24,structural_overlap,1.0,,,17,d3e46daecf90,completed
crpa_contribution,2024,0.01,8,0.26232282165437937,3.75,5.0,6.970509338378906,1064.7649380953897,6.955957889556885,1049.3832499301845,8,24,behavioral_contribution,1.0,-2.284844716389974e-07,1.0,17,db1b581c9d1b,completed
crpa_naive,42,0.0,8,0.2402732198437055,4.583333333333333,5.0,6.738667249679565,844.4345651282742,6.682981967926025,798.6972540762624,8,24,structural_overlap,1.0,,,17,e89bb21ce4b5,completed
crpa_contribution,42,0.01,8,0.2507522941256563,6.666666666666667,5.0,6.759396123886108,862.121424029004,6.70233154296875,814.3021941307755,8,24,behavioral_contribution,1.0,1.1920928955078125e-07,1.0,17,eb8b71b9ba18,completed
crpa_naive,1337,0.2,8,0.22326242675383887,5.0,5.0,6.741135931015014,846.5217802527,6.686267852783203,801.3259977982756,8,24,structural_overlap,1.0,,,17,f8e4be65ae98,completed
